"webpbn.com #26292: WCP #169 Where were you when the lights went out?"
"Copyright 2015 by Belita"

,,,,,,,,5,6,8,,,,1,,,,,,,,2,,,,,,,2,
,,,,,,8,9,5,6,2,7,,6,5,6,,,10,9,9,3,5,,,,,,3,5,
,,,,,,4,4,4,1,1,1,6,1,1,2,11,10,6,6,6,13,6,9,,,,,9,1,11
,,,,,,5,5,1,3,4,6,5,1,3,10,12,13,6,1,1,1,6,12,,,,25,9,10,13
,,,9,8,4
,,,8,8,4
,9,6,1,2,1
,,15,1,1,1
,,16,1,2,1
,,,2,15,4
,,2,2,10,4
,,2,2,9,4
,,3,1,9,4
,,2,3,2,4
,4,2,2,2,1
,,6,2,3,2
,,4,6,2,1
,,2,8,1,2
,1,1,9,1,1
,,2,9,1,2
,,2,6,3,4
,,3,6,2,4
,,3,4,1,4
,2,1,4,2,4
,2,2,4,2,4
,1,3,4,2,4
,,4,4,2,4
,,5,4,2,4
,,,4,8,4
