"webpbn.com #4485: Safe Place"
"Copyright 2008 by Teresa K"

,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,,,,,,,2,,,1,4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,,,,,,4,1,4,,2,1,3,,4,,,4,1,,,1,,1,4,1,,,1,1,,
,,,,,,,,,,,,,,,1,1,1,,,1,,,2,2,2,4,2,2,2,1,2,3,1,1,2,,,2,,2,2,2,4,,1,1,1,
,,,,,,,,,,,,,,,1,2,1,7,,2,4,1,7,3,6,1,4,1,2,1,2,1,2,2,2,4,4,1,4,1,6,10,1,7,1,1,1,
,,,,,,,,,,,,,,7,1,9,9,2,4,12,2,2,1,1,2,2,1,1,1,2,5,2,2,1,7,1,2,2,2,1,1,1,1,2,1,2,1,7
,,,,,,,,,,,,,,15,1,2,2,8,1,4,8,1,3,3,3,7,3,3,1,1,5,1,1,3,3,2,14,10,14,3,2,1,2,10,12,12,1,15
,,,,,,,,,,,,,,1,1,1,1,3,5,1,7,6,1,1,1,1,1,1,3,8,1,6,3,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1
,,,,,,,,,13,1,1,1,13
,1,2,1,1,2,2,2,1,2,1,1,2,1
,,,,,,,1,9,2,2,1,9,1
,,,,,,,,,,,,,35
,,,,,,,,,,1,1,1,1
,,,,1,1,3,3,3,3,3,2,1,1
,,,,,,5,2,3,3,3,3,4,5
,,,,,,,,,,,,1,1
,,,,,,,,,,3,3,3,3
,,,,,,,1,3,2,17,2,3,1
,,,,,,,,,1,2,17,2,1
,,,,1,3,2,1,1,1,1,2,3,1
,,,1,3,2,1,1,9,1,1,2,3,1
,,,1,3,2,3,1,1,1,3,2,3,1
,,,1,3,2,3,1,1,1,3,2,3,1
,,,,1,3,2,2,1,1,1,3,3,1
,,,,,,1,3,2,2,1,1,10,1
,,,,,,1,3,1,9,1,3,3,1
,,,,,,1,3,2,1,2,1,10,1
,,,,,,1,2,3,1,3,5,4,1
,,,,,,,,,1,18,4,3,1
,,,,,,,,,1,20,3,2,1
,,,,,,,,,1,20,4,3,1
,,,,,,,,1,1,1,1,1,1
,,,,,,,,,4,3,6,3,15
